Plate,Date Collected,Pond,Clone,Replicate,Well,Time,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Dried
052724A,5/27/2024,P19,50,R1,A1,1,,,,,
052724A,5/27/2024,P19,50,R1,A2,1,,,,,
052724A,5/27/2024,P19,50,R1,A3,1,,,,,
052724A,5/27/2024,P19,50,R1,A4,1,,,,,
052724A,5/27/2024,P19,50,R1,A5,1,,,,,
052724A,5/27/2024,P19,50,R1,A6,1,,,,,
052724A,5/27/2024,P19,50,R1,A7,1,,,,,
052724A,5/27/2024,P19,50,R1,A8,1,,,,,
052724A,5/27/2024,P19,50,R1,A9,1,,,,,
052724A,5/27/2024,P19,50,R1,A10,1,,,,,
052724A,5/27/2024,P19,50,R1,A11,1,,,,,
052724A,5/27/2024,P19,50,R1,A12,1,,,,,
052724A,5/27/2024,P19,50,R2,B1,1,,,,,
052724A,5/27/2024,P19,50,R2,B2,1,2-Jul,D,,,
052724A,5/27/2024,P19,50,R2,B3,1,,,,,
052724A,5/27/2024,P19,50,R2,B4,1,,,,,
052724A,5/27/2024,P19,50,R2,B5,1,,,,,
052724A,5/27/2024,P19,50,R2,B6,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R2,B7,1,,,,,
052724A,5/27/2024,P19,50,R2,B8,1,,,,,
052724A,5/27/2024,P19,50,R2,B9,1,,,,,
052724A,5/27/2024,P19,50,R2,B10,1,,,,,
052724A,5/27/2024,P19,50,R2,B11,1,,,,,
052724A,5/27/2024,P19,50,R2,B12,1,,,,,
052724A,5/27/2024,P19,50,R3,C1,1,,,,,
052724A,5/27/2024,P19,50,R3,C2,1,,,,,
052724A,5/27/2024,P19,50,R3,C3,1,,,,,
052724A,5/27/2024,P19,50,R3,C4,1,,,,,
052724A,5/27/2024,P19,50,R3,C5,1,,,,,
052724A,5/27/2024,P19,50,R3,C6,1,,,,,
052724A,5/27/2024,P19,50,R3,C7,1,,,,,
052724A,5/27/2024,P19,50,R3,C8,1,,,,,
052724A,5/27/2024,P19,50,R3,C9,1,,,,,
052724A,5/27/2024,P19,50,R3,C10,1,,,,,
052724A,5/27/2024,P19,50,R3,C11,1,,,,,
052724A,5/27/2024,P19,50,R3,C12,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R4,D1,1,,,,,
052724A,5/27/2024,P19,50,R4,D2,1,,,,,
052724A,5/27/2024,P19,50,R4,D3,1,,,,,
052724A,5/27/2024,P19,50,R4,D4,1,,,,,
052724A,5/27/2024,P19,50,R4,D5,1,,,,,
052724A,5/27/2024,P19,50,R4,D6,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R4,D7,1,,,,,
052724A,5/27/2024,P19,50,R4,D8,1,,,,,
052724A,5/27/2024,P19,50,R4,D9,1,,,,,
052724A,5/27/2024,P19,50,R4,D10,1,,,,,
052724A,5/27/2024,P19,50,R4,D11,1,,,,,
052724A,5/27/2024,P19,50,R4,D12,1,,,,,
052724A,5/27/2024,P19,50,R5,E1,1,,,,,
052724A,5/27/2024,P19,50,R5,E2,1,,,,,
052724A,5/27/2024,P19,50,R5,E3,1,25-Jun,H,,,
052724A,5/27/2024,P19,50,R5,E4,1,,,,,
052724A,5/27/2024,P19,50,R5,E5,1,,,,,
052724A,5/27/2024,P19,50,R5,E6,1,,,,,
052724A,5/27/2024,P19,50,R5,E7,1,,,,,
052724A,5/27/2024,P19,50,R5,E8,1,2-Jul,D,,,
052724A,5/27/2024,P19,50,R5,E9,1,,,,,
052724A,5/27/2024,P19,50,R5,E10,1,,,,,
052724A,5/27/2024,P19,50,R5,E11,1,,,,,
052724A,5/27/2024,P19,50,R5,E12,1,,,,,
052724A,5/27/2024,P19,50,R6,F1,1,,,,,
052724A,5/27/2024,P19,50,R6,F2,1,,,,,
052724A,5/27/2024,P19,50,R6,F3,1,,,,,
052724A,5/27/2024,P19,50,R6,F4,1,,,,,
052724A,5/27/2024,P19,50,R6,F5,1,,,,,
052724A,5/27/2024,P19,50,R6,F6,1,,,,,
052724A,5/27/2024,P19,50,R6,F7,1,2-Jul,HD,,,
052724A,5/27/2024,P19,50,R6,F8,1,,,,,
052724A,5/27/2024,P19,50,R6,F9,1,25-Jun,HD,,,
052724A,5/27/2024,P19,50,R6,F10,1,,,,,
052724A,5/27/2024,P19,50,R6,F11,1,,,,,
052724A,5/27/2024,P19,50,R6,F12,1,,,,,
052724B,5/27/2024,P19,50,R1,A1,2,,,,,
052724B,5/27/2024,P19,50,R1,A2,2,,,,,
052724B,5/27/2024,P19,50,R1,A3,2,,,,,
052724B,5/27/2024,P19,50,R1,A4,2,,,,,
052724B,5/27/2024,P19,50,R1,A5,2,,,,,
052724B,5/27/2024,P19,50,R1,A6,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R1,A7,2,,,,,
052724B,5/27/2024,P19,50,R1,A8,2,,,,,
052724B,5/27/2024,P19,50,R1,A9,2,,,,,
052724B,5/27/2024,P19,50,R1,A10,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R1,A11,2,,,,,
052724B,5/27/2024,P19,50,R1,A12,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R2,B1,2,,,,,
052724B,5/27/2024,P19,50,R2,B2,2,,,,,
052724B,5/27/2024,P19,50,R2,B3,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R2,B4,2,,,,,
052724B,5/27/2024,P19,50,R2,B5,2,,,,,
052724B,5/27/2024,P19,50,R2,B6,2,,,,,
052724B,5/27/2024,P19,50,R2,B7,2,,,,,
052724B,5/27/2024,P19,50,R2,B8,2,,,,,
052724B,5/27/2024,P19,50,R2,B9,2,,,,,
052724B,5/27/2024,P19,50,R2,B10,2,,,,,
052724B,5/27/2024,P19,50,R2,B11,2,,,,,
052724B,5/27/2024,P19,50,R2,B12,2,,,,,
052724B,5/27/2024,P19,50,R3,C1,2,11-Jul,D,,,
052724B,5/27/2024,P19,50,R3,C2,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R3,C3,2,,,,,
052724B,5/27/2024,P19,50,R3,C4,2,,,,,
052724B,5/27/2024,P19,50,R3,C5,2,2-Jul,D,,,
052724B,5/27/2024,P19,50,R3,C6,2,,,,,
052724B,5/27/2024,P19,50,R3,C7,2,2-Jul,H,,,
052724B,5/27/2024,P19,50,R3,C8,2,,,,,
052724B,5/27/2024,P19,50,R3,C9,2,,,,,
052724B,5/27/2024,P19,50,R3,C10,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R3,C11,2,2-Jul,H,,,
052724B,5/27/2024,P19,50,R3,C12,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R4,D1,2,,,,,
052724B,5/27/2024,P19,50,R4,D2,2,,,,,
052724B,5/27/2024,P19,50,R4,D3,2,,,,,
052724B,5/27/2024,P19,50,R4,D4,2,,,,,
052724B,5/27/2024,P19,50,R4,D5,2,,,,,
052724B,5/27/2024,P19,50,R4,D6,2,,,,,
052724B,5/27/2024,P19,50,R4,D7,2,,,,,
052724B,5/27/2024,P19,50,R4,D8,2,,,,,
052724B,5/27/2024,P19,50,R4,D9,2,,,,,
052724B,5/27/2024,P19,50,R4,D10,2,,,,,
052724B,5/27/2024,P19,50,R4,D11,2,,,,,
052724B,5/27/2024,P19,50,R4,D12,2,,,,,
052724B,5/27/2024,P19,50,R5,E1,2,,,,,
052724B,5/27/2024,P19,50,R5,E2,2,,,,,
052724B,5/27/2024,P19,50,R5,E3,2,,,,,
052724B,5/27/2024,P19,50,R5,E4,2,,,,,
052724B,5/27/2024,P19,50,R5,E5,2,,,,,
052724B,5/27/2024,P19,50,R5,E6,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R5,E7,2,,,,,
052724B,5/27/2024,P19,50,R5,E8,2,,,,,
052724B,5/27/2024,P19,50,R5,E9,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R5,E10,2,,,,,
052724B,5/27/2024,P19,50,R5,E11,2,,,,,
052724B,5/27/2024,P19,50,R5,E12,2,,,,,
052724B,5/27/2024,P19,50,R6,F1,2,,,,,
052724B,5/27/2024,P19,50,R6,F2,2,2-Jul,D,,,
052724B,5/27/2024,P19,50,R6,F3,2,,,,,
052724B,5/27/2024,P19,50,R6,F4,2,,,,,
052724B,5/27/2024,P19,50,R6,F5,2,,,,,
052724B,5/27/2024,P19,50,R6,F6,2,,,,,
052724B,5/27/2024,P19,50,R6,F7,2,,,,,
052724B,5/27/2024,P19,50,R6,F8,2,2-Jul,HD,,,
052724B,5/27/2024,P19,50,R6,F9,2,,,,,
052724B,5/27/2024,P19,50,R6,F10,2,,,,,
052724B,5/27/2024,P19,50,R6,F11,2,,,,,
052724B,5/27/2024,P19,50,R6,F12,2,,,,,
052724C,5/27/2024,P19,50,R1,A1,3,11-Jul,D,,,
052724C,5/27/2024,P19,50,R1,A2,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R1,A3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R1,A4,3,,,,,
052724C,5/27/2024,P19,50,R1,A5,3,11-Jul,D,,,
052724C,5/27/2024,P19,50,R1,A6,3,,,,,
052724C,5/27/2024,P19,50,R1,A7,3,,,,,
052724C,5/27/2024,P19,50,R1,A8,3,11-Jul,D,,,
052724C,5/27/2024,P19,50,R1,A9,3,,,,,
052724C,5/27/2024,P19,50,R1,A10,3,,,,,
052724C,5/27/2024,P19,50,R1,A11,3,11-Jul,D,17-Jul,D,
052724C,5/27/2024,P19,50,R1,A12,3,,,,,Dry
052724C,5/27/2024,P19,50,R2,B1,3,11-Jul,D,,,
052724C,5/27/2024,P19,50,R2,B2,3,,,,,
052724C,5/27/2024,P19,50,R2,B3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R2,B4,3,,,,,
052724C,5/27/2024,P19,50,R2,B5,3,,,,,
052724C,5/27/2024,P19,50,R2,B6,3,,,,,
052724C,5/27/2024,P19,50,R2,B7,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R2,B8,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R2,B9,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R2,B10,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R2,B11,3,,,,,
052724C,5/27/2024,P19,50,R2,B12,3,11-Jul,HD,17-Jul,HD,
052724C,5/27/2024,P19,50,R3,C1,3,,,,,
052724C,5/27/2024,P19,50,R3,C2,3,,,,,
052724C,5/27/2024,P19,50,R3,C3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R3,C4,3,,,,,
052724C,5/27/2024,P19,50,R3,C5,3,,,,,
052724C,5/27/2024,P19,50,R3,C6,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R3,C7,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R3,C8,3,,,,,
052724C,5/27/2024,P19,50,R3,C9,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R3,C10,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R3,C11,3,,,,,
052724C,5/27/2024,P19,50,R3,C12,3,,,,,
052724C,5/27/2024,P19,50,R4,D1,3,17-Jul,HD,,,
052724C,5/27/2024,P19,50,R4,D2,3,,,,,
052724C,5/27/2024,P19,50,R4,D3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R4,D4,3,,,,,
052724C,5/27/2024,P19,50,R4,D5,3,,,,,
052724C,5/27/2024,P19,50,R4,D6,3,,,,,
052724C,5/27/2024,P19,50,R4,D7,3,,,,,
052724C,5/27/2024,P19,50,R4,D8,3,,,,,
052724C,5/27/2024,P19,50,R4,D9,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R4,D10,3,,,,,
052724C,5/27/2024,P19,50,R4,D11,3,,,,,
052724C,5/27/2024,P19,50,R4,D12,3,,,,,
052724C,5/27/2024,P19,50,R5,E1,3,11-Jul,D,11-Jul,D,
052724C,5/27/2024,P19,50,R5,E2,3,,,,,
052724C,5/27/2024,P19,50,R5,E3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R5,E4,3,,,,,
052724C,5/27/2024,P19,50,R5,E5,3,,,,,
052724C,5/27/2024,P19,50,R5,E6,3,,,,,
052724C,5/27/2024,P19,50,R5,E7,3,,,,,
052724C,5/27/2024,P19,50,R5,E8,3,,,,,
052724C,5/27/2024,P19,50,R5,E9,3,,,,,
052724C,5/27/2024,P19,50,R5,E10,3,,,,,
052724C,5/27/2024,P19,50,R5,E11,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R5,E12,3,,,,,
052724C,5/27/2024,P19,50,R6,F1,3,,,,,
052724C,5/27/2024,P19,50,R6,F2,3,,,,,
052724C,5/27/2024,P19,50,R6,F3,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R6,F4,3,,,,,
052724C,5/27/2024,P19,50,R6,F5,3,,,,,
052724C,5/27/2024,P19,50,R6,F6,3,,,,,
052724C,5/27/2024,P19,50,R6,F7,3,11-Jul,HD,,,
052724C,5/27/2024,P19,50,R6,F8,3,,,,,
052724C,5/27/2024,P19,50,R6,F9,3,,,,,
052724C,5/27/2024,P19,50,R6,F10,3,,,,,
052724C,5/27/2024,P19,50,R6,F11,3,,,,,
052724C,5/27/2024,P19,50,R6,F12,3,,,,,
052724D,5/27/2024,P19,50,R1,A1,4,,,,,Dry
052724D,5/27/2024,P19,50,R1,A2,4,,,,,
052724D,5/27/2024,P19,50,R1,A3,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R1,A4,4,,,,,
052724D,5/27/2024,P19,50,R1,A5,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R1,A6,4,,,,,
052724D,5/27/2024,P19,50,R1,A7,4,,,,,
052724D,5/27/2024,P19,50,R1,A8,4,,,,,
052724D,5/27/2024,P19,50,R1,A9,4,17-Jul,D,17-Jul,HD,
052724D,5/27/2024,P19,50,R1,A10,4,,,,,
052724D,5/27/2024,P19,50,R1,A11,4,,,,,
052724D,5/27/2024,P19,50,R1,A12,4,17-Jul,HD,,,Dry
052724D,5/27/2024,P19,50,R2,B1,4,,,,,
052724D,5/27/2024,P19,50,R2,B2,4,,,,,
052724D,5/27/2024,P19,50,R2,B3,4,,,,,
052724D,5/27/2024,P19,50,R2,B4,4,17-Jul,HD,21-Jul,HD,
052724D,5/27/2024,P19,50,R2,B5,4,,,,,
052724D,5/27/2024,P19,50,R2,B6,4,,,,,
052724D,5/27/2024,P19,50,R2,B7,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R2,B8,4,,,,,
052724D,5/27/2024,P19,50,R2,B9,4,,,,,
052724D,5/27/2024,P19,50,R2,B10,4,,,,,
052724D,5/27/2024,P19,50,R2,B11,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R2,B12,4,,,,,
052724D,5/27/2024,P19,50,R3,C1,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R3,C2,4,,,,,
052724D,5/27/2024,P19,50,R3,C3,4,,,,,
052724D,5/27/2024,P19,50,R3,C4,4,,,,,
052724D,5/27/2024,P19,50,R3,C5,4,,,,,
052724D,5/27/2024,P19,50,R3,C6,4,,,,,
052724D,5/27/2024,P19,50,R3,C7,4,,,,,
052724D,5/27/2024,P19,50,R3,C8,4,,,,,
052724D,5/27/2024,P19,50,R3,C9,4,,,,,
052724D,5/27/2024,P19,50,R3,C10,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R3,C11,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R3,C12,4,,,,,
052724D,5/27/2024,P19,50,R4,D1,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R4,D2,4,,,,,
052724D,5/27/2024,P19,50,R4,D3,4,,,,,
052724D,5/27/2024,P19,50,R4,D4,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R4,D5,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R4,D6,4,,,,,
052724D,5/27/2024,P19,50,R4,D7,4,,,,,
052724D,5/27/2024,P19,50,R4,D8,4,,,,,
052724D,5/27/2024,P19,50,R4,D9,4,,,,,
052724D,5/27/2024,P19,50,R4,D10,4,,,,,
052724D,5/27/2024,P19,50,R4,D11,4,,,,,
052724D,5/27/2024,P19,50,R4,D12,4,,,,,
052724D,5/27/2024,P19,50,R5,E1,4,,,,,
052724D,5/27/2024,P19,50,R5,E2,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R5,E3,4,,,,,
052724D,5/27/2024,P19,50,R5,E4,4,,,,,
052724D,5/27/2024,P19,50,R5,E5,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R5,E6,4,,,,,
052724D,5/27/2024,P19,50,R5,E7,4,,,,,
052724D,5/27/2024,P19,50,R5,E8,4,,,,,
052724D,5/27/2024,P19,50,R5,E9,4,,,,,
052724D,5/27/2024,P19,50,R5,E10,4,,,,,
052724D,5/27/2024,P19,50,R5,E11,4,,,,,
052724D,5/27/2024,P19,50,R5,E12,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R6,F1,4,17-Jul,HD,,,
052724D,5/27/2024,P19,50,R6,F2,4,,,,,
052724D,5/27/2024,P19,50,R6,F3,4,,,,,
052724D,5/27/2024,P19,50,R6,F4,4,,,,,
052724D,5/27/2024,P19,50,R6,F5,4,,,,,
052724D,5/27/2024,P19,50,R6,F6,4,,,,,
052724D,5/27/2024,P19,50,R6,F7,4,,,,,
052724D,5/27/2024,P19,50,R6,F8,4,,,,,
052724D,5/27/2024,P19,50,R6,F9,4,,,,,
052724D,5/27/2024,P19,50,R6,F10,4,,,,,
052724D,5/27/2024,P19,50,R6,F11,4,,,,,
052724D,5/27/2024,P19,50,R6,F12,4,,,,,
052724E,5/27/2024,P19,50,R1,A1,5,,,,,Dry
