Plate,Date Collected,Pond,Clone,Replicate,Well,Time,Hatch1,Hatch1HD,Hatch2,Hatch2HD,Dried
052724E,5/27/2024,P19,50,R1,A2,5,,,,,
052724E,5/27/2024,P19,50,R1,A3,5,,,,,
052724E,5/27/2024,P19,50,R1,A4,5,,,,,
052724E,5/27/2024,P19,50,R1,A5,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R1,A6,5,,,,,
052724E,5/27/2024,P19,50,R1,A7,5,,,,,
052724E,5/27/2024,P19,50,R1,A8,5,21-Jul,D,,,
052724E,5/27/2024,P19,50,R1,A9,5,,,,,
052724E,5/27/2024,P19,50,R1,A10,5,,,,,
052724E,5/27/2024,P19,50,R1,A11,5,21-Jul,H,21-Jul,HD,
052724E,5/27/2024,P19,50,R1,A12,5,25-Jul,D,,,
052724E,5/27/2024,P19,50,R2,B1,5,,,,,
052724E,5/27/2024,P19,50,R2,B2,5,,,,,
052724E,5/27/2024,P19,50,R2,B3,5,,,,,
052724E,5/27/2024,P19,50,R2,B4,5,,,,,
052724E,5/27/2024,P19,50,R2,B5,5,,,,,
052724E,5/27/2024,P19,50,R2,B6,5,,,,,
052724E,5/27/2024,P19,50,R2,B7,5,,,,,
052724E,5/27/2024,P19,50,R2,B8,5,,,,,
052724E,5/27/2024,P19,50,R2,B9,5,,,,,
052724E,5/27/2024,P19,50,R2,B10,5,,,,,
052724E,5/27/2024,P19,50,R2,B11,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R2,B12,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R3,C1,5,,,,,
052724E,5/27/2024,P19,50,R3,C2,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R3,C3,5,,,,,
052724E,5/27/2024,P19,50,R3,C4,5,,,,,
052724E,5/27/2024,P19,50,R3,C5,5,,,,,
052724E,5/27/2024,P19,50,R3,C6,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R3,C7,5,21-Jul,D,,,
052724E,5/27/2024,P19,50,R3,C8,5,25-Jul,H,,,
052724E,5/27/2024,P19,50,R3,C9,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R3,C10,5,21-Jul,HD,21-Jul,HD,
052724E,5/27/2024,P19,50,R3,C11,5,21-Jul,HD,21-Jul,HD,
052724E,5/27/2024,P19,50,R3,C12,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R4,D1,5,,,,,
052724E,5/27/2024,P19,50,R4,D2,5,,,,,
052724E,5/27/2024,P19,50,R4,D3,5,,,,,
052724E,5/27/2024,P19,50,R4,D4,5,25-Jul,H,25-Jul,D,
052724E,5/27/2024,P19,50,R4,D5,5,,,,,
052724E,5/27/2024,P19,50,R4,D6,5,,,,,
052724E,5/27/2024,P19,50,R4,D7,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R4,D8,5,21-Jul,H,25-Jul,HD,
052724E,5/27/2024,P19,50,R4,D9,5,,,,,
052724E,5/27/2024,P19,50,R4,D10,5,,,,,
052724E,5/27/2024,P19,50,R4,D11,5,,,,,
052724E,5/27/2024,P19,50,R4,D12,5,,,,,
052724E,5/27/2024,P19,50,R5,E1,5,,,,,
052724E,5/27/2024,P19,50,R5,E2,5,21-Jul,H,,,
052724E,5/27/2024,P19,50,R5,E3,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R5,E4,5,,,,,
052724E,5/27/2024,P19,50,R5,E5,5,,,,,
052724E,5/27/2024,P19,50,R5,E6,5,,,,,
052724E,5/27/2024,P19,50,R5,E7,5,,,,,
052724E,5/27/2024,P19,50,R5,E8,5,,,,,
052724E,5/27/2024,P19,50,R5,E9,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R5,E10,5,,,,,
052724E,5/27/2024,P19,50,R5,E11,5,,,,,
052724E,5/27/2024,P19,50,R5,E12,5,,,,,
052724E,5/27/2024,P19,50,R6,F1,5,25-Jul,D,,,
052724E,5/27/2024,P19,50,R6,F2,5,,,,,
052724E,5/27/2024,P19,50,R6,F3,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R6,F4,5,,,,,
052724E,5/27/2024,P19,50,R6,F5,5,,,,,
052724E,5/27/2024,P19,50,R6,F6,5,21-Jul,H,,,
052724E,5/27/2024,P19,50,R6,F7,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R6,F8,5,,,,,
052724E,5/27/2024,P19,50,R6,F9,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R6,F10,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R6,F11,5,21-Jul,HD,,,
052724E,5/27/2024,P19,50,R6,F12,5,,,,,
052724F,5/27/2024,P19,50,R1,A1,6,25-Jul,D,,,
052724F,5/27/2024,P19,50,R1,A2,6,,,,,
052724F,5/27/2024,P19,50,R1,A3,6,,,,,
052724F,5/27/2024,P19,50,R1,A4,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R1,A5,6,,,,,
052724F,5/27/2024,P19,50,R1,A6,6,,,,,
052724F,5/27/2024,P19,50,R1,A7,6,,,,,
052724F,5/27/2024,P19,50,R1,A8,6,,,,,
052724F,5/27/2024,P19,50,R1,A9,6,,,,,
052724F,5/27/2024,P19,50,R1,A10,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R1,A11,6,,,,,
052724F,5/27/2024,P19,50,R1,A12,6,,,,,
052724F,5/27/2024,P19,50,R2,B1,6,,,,,
052724F,5/27/2024,P19,50,R2,B2,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R2,B3,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R2,B4,6,,,,,
052724F,5/27/2024,P19,50,R2,B5,6,,,,,
052724F,5/27/2024,P19,50,R2,B6,6,,,,,
052724F,5/27/2024,P19,50,R2,B7,6,,,,,
052724F,5/27/2024,P19,50,R2,B8,6,25-Jul,HD,25-Jul,HD,
052724F,5/27/2024,P19,50,R2,B9,6,,,,,
052724F,5/27/2024,P19,50,R2,B10,6,,,,,
052724F,5/27/2024,P19,50,R2,B11,6,,,,,
052724F,5/27/2024,P19,50,R2,B12,6,,,,,
052724F,5/27/2024,P19,50,R3,C1,6,25-Jul,D,25-Jul,HD,
052724F,5/27/2024,P19,50,R3,C2,6,,,,,
052724F,5/27/2024,P19,50,R3,C3,6,,,,,
052724F,5/27/2024,P19,50,R3,C4,6,,,,,
052724F,5/27/2024,P19,50,R3,C5,6,,,,,
052724F,5/27/2024,P19,50,R3,C6,6,,,,,
052724F,5/27/2024,P19,50,R3,C7,6,,,,,
052724F,5/27/2024,P19,50,R3,C8,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R3,C9,6,,,,,
052724F,5/27/2024,P19,50,R3,C10,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R3,C11,6,,,,,
052724F,5/27/2024,P19,50,R3,C12,6,,,,,
052724F,5/27/2024,P19,50,R4,D1,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R4,D2,6,,,,,
052724F,5/27/2024,P19,50,R4,D3,6,25-Jul,HD,5-Aug,HD,
052724F,5/27/2024,P19,50,R4,D4,6,,,,,
052724F,5/27/2024,P19,50,R4,D5,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R4,D6,6,,,,,
052724F,5/27/2024,P19,50,R4,D7,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R4,D8,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R4,D9,6,5-Aug,HD,5-Aug,HD,
052724F,5/27/2024,P19,50,R4,D10,6,,,,,
052724F,5/27/2024,P19,50,R4,D11,6,25-Jul,H,,,
052724F,5/27/2024,P19,50,R4,D12,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R5,E1,6,,,,,
052724F,5/27/2024,P19,50,R5,E2,6,,,,,
052724F,5/27/2024,P19,50,R5,E3,6,25-Jul,HD,5-Aug,HD,
052724F,5/27/2024,P19,50,R5,E4,6,25-Jul,HD,5-Aug,D,
052724F,5/27/2024,P19,50,R5,E5,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R5,E6,6,,,,,
052724F,5/27/2024,P19,50,R5,E7,6,,,,,
052724F,5/27/2024,P19,50,R5,E8,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R5,E9,6,,,,,
052724F,5/27/2024,P19,50,R5,E10,6,,,,,
052724F,5/27/2024,P19,50,R5,E11,6,,,,,
052724F,5/27/2024,P19,50,R5,E12,6,,,,,
052724F,5/27/2024,P19,50,R6,F1,6,,,,,
052724F,5/27/2024,P19,50,R6,F2,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R6,F3,6,5-Aug,HD,,,
052724F,5/27/2024,P19,50,R6,F4,6,5-Aug,HD,5-Aug,HD,
052724F,5/27/2024,P19,50,R6,F5,6,5-Aug,D,,,
052724F,5/27/2024,P19,50,R6,F6,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R6,F7,6,5-Aug,D,,,
052724F,5/27/2024,P19,50,R6,F8,6,,,,,
052724F,5/27/2024,P19,50,R6,F9,6,5-Aug,D,,,
052724F,5/27/2024,P19,50,R6,F10,6,25-Jul,HD,,,
052724F,5/27/2024,P19,50,R6,F11,6,,,,,
052724F,5/27/2024,P19,50,R6,F12,6,25-Jul,HD,,,
052724G,5/27/2024,P19,50,R1,A1,7,,,,,
052724G,5/27/2024,P19,50,R1,A2,7,,,,,
052724G,5/27/2024,P19,50,R1,A3,7,,,,,
052724G,5/27/2024,P19,50,R1,A4,7,,,,,
052724G,5/27/2024,P19,50,R1,A5,7,,,,,
052724G,5/27/2024,P19,50,R1,A6,7,,,,,
052724G,5/27/2024,P19,50,R1,A7,7,,,,,
052724G,5/27/2024,P19,50,R1,A8,7,,,,,
052724G,5/27/2024,P19,50,R1,A9,7,,,,,
052724G,5/27/2024,P19,50,R1,A10,7,,,,,
052724G,5/27/2024,P19,50,R1,A11,7,,,,,
052724G,5/27/2024,P19,50,R1,A12,7,,,,,
052724G,5/27/2024,P19,50,R2,B1,7,,,,,
052724G,5/27/2024,P19,50,R2,B2,7,,,,,
052724G,5/27/2024,P19,50,R2,B3,7,,,,,
052724G,5/27/2024,P19,50,R2,B4,7,,,,,
052724G,5/27/2024,P19,50,R2,B5,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R2,B6,7,,,,,
052724G,5/27/2024,P19,50,R2,B7,7,,,,,
052724G,5/27/2024,P19,50,R2,B8,7,5-Aug,HD,5-Aug,HD,
052724G,5/27/2024,P19,50,R2,B9,7,,,,,
052724G,5/27/2024,P19,50,R2,B10,7,,,,,
052724G,5/27/2024,P19,50,R2,B11,7,,,,,
052724G,5/27/2024,P19,50,R2,B12,7,,,,,
052724G,5/27/2024,P19,50,R3,C1,7,,,,,
052724G,5/27/2024,P19,50,R3,C2,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R3,C3,7,,,,,
052724G,5/27/2024,P19,50,R3,C4,7,,,,,
052724G,5/27/2024,P19,50,R3,C5,7,,,,,
052724G,5/27/2024,P19,50,R3,C6,7,,,,,
052724G,5/27/2024,P19,50,R3,C7,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R3,C8,7,,,,,
052724G,5/27/2024,P19,50,R3,C9,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R3,C10,7,,,,,
052724G,5/27/2024,P19,50,R3,C11,7,,,,,
052724G,5/27/2024,P19,50,R3,C12,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R4,D1,7,,,,,
052724G,5/27/2024,P19,50,R4,D2,7,,,,,
052724G,5/27/2024,P19,50,R4,D3,7,,,,,
052724G,5/27/2024,P19,50,R4,D4,7,,,,,
052724G,5/27/2024,P19,50,R4,D5,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R4,D6,7,14-Aug,HD,,,
052724G,5/27/2024,P19,50,R4,D7,7,5-Aug,H,,,
052724G,5/27/2024,P19,50,R4,D8,7,,,,,
052724G,5/27/2024,P19,50,R4,D9,7,5-Aug,D,,,
052724G,5/27/2024,P19,50,R4,D10,7,,,,,
052724G,5/27/2024,P19,50,R4,D11,7,,,,,
052724G,5/27/2024,P19,50,R4,D12,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R5,E1,7,,,,,
052724G,5/27/2024,P19,50,R5,E2,7,,,,,
052724G,5/27/2024,P19,50,R5,E3,7,,,,,
052724G,5/27/2024,P19,50,R5,E4,7,,,,,
052724G,5/27/2024,P19,50,R5,E5,7,,,,,
052724G,5/27/2024,P19,50,R5,E6,7,,,,,
052724G,5/27/2024,P19,50,R5,E7,7,,,,,
052724G,5/27/2024,P19,50,R5,E8,7,,,,,
052724G,5/27/2024,P19,50,R5,E9,7,,,,,
052724G,5/27/2024,P19,50,R5,E10,7,,,,,
052724G,5/27/2024,P19,50,R5,E11,7,,,,,
052724G,5/27/2024,P19,50,R5,E12,7,,,,,
052724G,5/27/2024,P19,50,R6,F1,7,,,,,
052724G,5/27/2024,P19,50,R6,F2,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F3,7,,,,,
052724G,5/27/2024,P19,50,R6,F4,7,,,,,
052724G,5/27/2024,P19,50,R6,F5,7,,,,,
052724G,5/27/2024,P19,50,R6,F6,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F7,7,,,,,
052724G,5/27/2024,P19,50,R6,F8,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F9,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F10,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F11,7,5-Aug,HD,,,
052724G,5/27/2024,P19,50,R6,F12,7,5-Aug,HD,,,
052724H,5/27/2024,P19,50,R1,A1,8,,,,,Dry
052724H,5/27/2024,P19,50,R1,A2,8,,,,,
052724H,5/27/2024,P19,50,R1,A3,8,14-Aug,D,,,
052724H,5/27/2024,P19,50,R1,A4,8,,,,,
052724H,5/27/2024,P19,50,R1,A5,8,,,,,
052724H,5/27/2024,P19,50,R1,A6,8,,,,,
052724H,5/27/2024,P19,50,R1,A7,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R1,A8,8,,,,,
052724H,5/27/2024,P19,50,R1,A9,8,,,,,
052724H,5/27/2024,P19,50,R1,A10,8,,,,,
052724H,5/27/2024,P19,50,R1,A11,8,,,,,Dry
052724H,5/27/2024,P19,50,R1,A12,8,14-Aug,HD,,,Dry
052724H,5/27/2024,P19,50,R2,B1,8,,,,,
052724H,5/27/2024,P19,50,R2,B2,8,,,,,
052724H,5/27/2024,P19,50,R2,B3,8,,,,,
052724H,5/27/2024,P19,50,R2,B4,8,,,,,
052724H,5/27/2024,P19,50,R2,B5,8,,,,,
052724H,5/27/2024,P19,50,R2,B6,8,,,,,
052724H,5/27/2024,P19,50,R2,B7,8,,,,,
052724H,5/27/2024,P19,50,R2,B8,8,,,,,
052724H,5/27/2024,P19,50,R2,B9,8,,,,,
052724H,5/27/2024,P19,50,R2,B10,8,,,,,
052724H,5/27/2024,P19,50,R2,B11,8,,,,,
052724H,5/27/2024,P19,50,R2,B12,8,,,,,
052724H,5/27/2024,P19,50,R3,C1,8,,,,,
052724H,5/27/2024,P19,50,R3,C2,8,,,,,
052724H,5/27/2024,P19,50,R3,C3,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R3,C4,8,,,,,
052724H,5/27/2024,P19,50,R3,C5,8,,,,,
052724H,5/27/2024,P19,50,R3,C6,8,,,,,
052724H,5/27/2024,P19,50,R3,C7,8,,,,,
052724H,5/27/2024,P19,50,R3,C8,8,,,,,
052724H,5/27/2024,P19,50,R3,C9,8,,,,,
052724H,5/27/2024,P19,50,R3,C10,8,,,,,
052724H,5/27/2024,P19,50,R3,C11,8,,,,,
052724H,5/27/2024,P19,50,R3,C12,8,,,,,
052724H,5/27/2024,P19,50,R4,D1,8,,,,,
052724H,5/27/2024,P19,50,R4,D2,8,,,,,
052724H,5/27/2024,P19,50,R4,D3,8,,,,,
052724H,5/27/2024,P19,50,R4,D4,8,,,,,
052724H,5/27/2024,P19,50,R4,D5,8,,,,,
052724H,5/27/2024,P19,50,R4,D6,8,,,,,
052724H,5/27/2024,P19,50,R4,D7,8,,,,,
052724H,5/27/2024,P19,50,R4,D8,8,,,,,
052724H,5/27/2024,P19,50,R4,D9,8,,,,,
052724H,5/27/2024,P19,50,R4,D10,8,,,,,
052724H,5/27/2024,P19,50,R4,D11,8,,,,,
052724H,5/27/2024,P19,50,R4,D12,8,,,,,
052724H,5/27/2024,P19,50,R5,E1,8,,,,,
052724H,5/27/2024,P19,50,R5,E2,8,,,,,
052724H,5/27/2024,P19,50,R5,E3,8,,,,,
052724H,5/27/2024,P19,50,R5,E4,8,,,,,
052724H,5/27/2024,P19,50,R5,E5,8,,,,,
052724H,5/27/2024,P19,50,R5,E6,8,,,,,
052724H,5/27/2024,P19,50,R5,E7,8,,,,,
052724H,5/27/2024,P19,50,R5,E8,8,,,,,
052724H,5/27/2024,P19,50,R5,E9,8,,,,,
052724H,5/27/2024,P19,50,R5,E10,8,,,,,
052724H,5/27/2024,P19,50,R5,E11,8,,,,,
052724H,5/27/2024,P19,50,R5,E12,8,,,,,
052724H,5/27/2024,P19,50,R6,F1,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F2,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F3,8,,,,,
052724H,5/27/2024,P19,50,R6,F4,8,,,,,
052724H,5/27/2024,P19,50,R6,F5,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F6,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F7,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F8,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F9,8,14-Aug,HD,,,
052724H,5/27/2024,P19,50,R6,F10,8,,,,,
052724H,5/27/2024,P19,50,R6,F11,8,,,,,
052724H,5/27/2024,P19,50,R6,F12,8,,,,,
